date,ABB.ST,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AZN.ST,BOL.ST,ELUX-B.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,NIBE-B.ST,SAND.ST,SBB-B.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SINCH.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2019-04-15,191.373535,212.748962,781.155396,194.424911,57.428471,54.301228,717.141541,225.953079,177.939758,85.754906,233.237289,152.325104,109.03611,73.271523,143.956238,100.557396,233.489944,75.714165,30.689945,159.947845,10.299421,79.501808,68.374092,86.240677,12.28,156.330673,122.519386,88.002373,32.552456,122.405678
2019-04-22,191.079376,203.137375,769.679504,187.586777,59.684952,55.62616,715.158264,225.953079,182.020935,86.793808,248.122925,190.803894,121.437218,74.061508,144.472961,103.101707,244.371017,76.384972,31.091681,161.085449,10.196598,80.400345,69.647774,86.862015,12,154.835114,122.519386,93.42498,32.39386,124.445786
2019-04-29,191.471619,208.419983,739.011108,192.884216,59.907413,56.289291,725.570313,213.259979,176.010483,83.841133,247.330154,189.651123,127.37812,72.001892,146.367584,103.697662,250.264969,74.187828,31.286459,154.987869,10.28228,81.650497,68.718742,86.69632,12.4,151.580063,122.796295,90.447861,32.203541,121.508034
2019-05-06,181.02771,198.211655,699.438843,183.813416,57.31881,53.420376,718.033997,187.794937,168.070724,80.615082,246.977844,181.68959,124.783379,67.953201,136.894516,98.677826,238.7491,71.630966,30.397776,150.187225,10.537942,78.661858,66.890633,83.796783,12.54,142.166794,116.031425,89.880783,32.03701,114.286095
2019-05-13,181.870956,198.967819,662.636597,184.518402,57.298271,53.190033,724.182007,190.56929,165.399384,82.656425,252.703079,179.659744,125.255135,68.122475,141.969727,102.66272,240.894821,70.114357,31.724716,150.5112,11.763284,76.610832,66.860657,83.838196,14.4,139.43959,113.934715,93.959488,32.35421,115.510155
2019-05-20,176.602905,192.729401,622.470947,182.309418,54.545326,49.902298,739.750549,181.566345,160.427765,86.483955,251.822266,184.654724,126.198685,65.18824,133.540268,100.954811,238.854553,68.296356,30.901762,142.180313,12.165897,73.544052,65.706863,81.021507,14.58,133.941177,111.402824,95.648476,32.013222,112.001198
2019-05-27,171.236374,184.269714,582.861511,174.084595,52.573067,48.227024,703.358032,179.527039,153.081635,83.367256,245.304337,179.69957,121.480972,62.253986,125.998138,95.994804,226.588791,65.127022,29.413261,135.65448,12.095879,70.926552,63.129536,77.475769,15.62,129.76239,107.525894,96.272682,31.513638,108.329033
2019-06-03,178.818436,188.617722,615.341797,185.975357,54.709667,50.844643,725.669434,184.589966,164.657364,85.299248,255.257416,189.251678,130.350266,66.288574,132.599747,99.574432,234.07933,66.993629,31.086287,143.105972,11.920829,70.242867,65.377205,76.166847,16.24,137.50415,110.334686,96.272682,32.235264,112.776421
2019-06-10,176.258255,189.137604,615.935852,190.628265,57.68861,53.546028,748.278503,187.121445,170.074234,81.362366,260.718384,183.082581,136.813522,68.009621,136.681351,102.803116,226.682419,67.363052,33.116062,149.585556,11.045585,72.840843,65.227356,76.117126,16.440001,138.691803,111.046806,98.475716,32.718987,115.020538
2019-06-17,183.249496,196.888367,631.581909,193.918213,60.503204,55.765766,781.993591,195.877838,178.013962,85.736679,257.987946,174.326477,141.62558,72.2276,130.57666,106.452927,229.304092,65.972824,34.001778,158.055283,11.273148,74.774666,66.021538,76.614204,15.46,149.996521,111.007225,99.430359,33.052044,121.956848
2019-06-24,183.151047,191.500641,650.396729,197.302139,60.975712,55.786705,765.433594,197.081329,176.084671,80.287003,251.381882,182.883591,138.040131,72.735451,146.725723,104.370659,226.120621,65.545067,33.448204,157.916443,11.080596,78.818123,64.373238,76.117126,14.96,150.216461,110.334686,99.503792,32.703133,120.243187
2019-07-01,179.606171,194.525314,629.205383,199.746109,59.784149,54.19519,774.655762,191.0224,178.013962,80.578629,257.107117,191.83873,136.813522,65.018944,149.174683,106.733681,230.240433,70.026855,33.768047,152.269943,11.115604,81.279366,67.669823,80.690132,14.12,141.814896,116.031425,100.311584,34.281189,119.957558
